target,robust_num__credit_amount,standard_cont__duration_months,standard_cont__age_years,standard_cont__installment_rate_pct,standard_cont__residence_since,standard_cont__existing_credits,standard_cont__dependents,standard_ordinal__savings_ord,standard_ordinal__checking_status_ord,standard_ordinal__employment_since_ord,standard_ordinal__credit_history_ord,bin__debtors_co_applicant,bin__debtors_guarantor,bin__debtors_none,bin__property_Auto,bin__property_Immobilien,bin__property_None,bin__property_Versicherung,bin__instplan_bank,bin__instplan_none,bin__instplan_stores,bin__housing_free,bin__housing_own,bin__housing_rent,bin__telephone_bin,bin__Status_bin,bin__purpose_Consumption,bin__purpose_Investment/Human Capital,bin__purpose_Other/Repairs,bin__job_bin
1,-0.007864198714874844,1.2525737273156552,0.3037877757521432,0.9184771676276685,1.0469866784197936,-0.7049259983890862,-0.4282895663715403,1.8729595028982167,-1.0464627355633285,,0.5034279555987932,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,,,,1
1,-0.4145008151913302,-0.2408572253028645,2.238741761434584,0.9184771676276685,1.0469866784197936,-0.7049259983890862,-0.4282895663715403,-1.2313932643363965,1.0443719009268386,-0.341676771851476,0.5034279555987932,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,
2,-0.5265176944471085,0.2569530922366421,0.21583532185748686,0.9184771676276685,0.1405047057619635,-0.7049259983890862,2.3348689263480744,-0.19660900859152544,2.089789219171922,0.4744611097274053,0.5034279555987932,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,
1,-0.3228157667593747,-0.4897623840726178,-0.22392694761579512,0.9184771676276685,0.1405047057619635,1.0270789116578085,-0.4282895663715403,-0.19660900859152544,-1.0464627355633285,-0.341676771851476,-0.4202930638485338,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1,-0.3047856526325885,0.2569530922366421,-0.13597449372113873,0.9184771676276685,0.1405047057619635,-0.7049259983890862,2.3348689263480744,2.9077437586430874,-1.0464627355633285,0.4744611097274053,0.5034279555987932,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1
1,0.5978709120552412,0.2569530922366421,0.12788286796283044,0.9184771676276685,-0.7659772668958666,-0.7049259983890862,-0.4282895663715403,0.8381752471533456,1.0443719009268386,,-1.3440140832958607,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
1,1.5319842716025702,0.2569530922366421,0.479692683541456,0.024146916773074168,1.0469866784197936,-0.7049259983890862,2.3348689263480744,-1.2313932643363965,-1.0464627355633285,1.2905989913062865,0.5034279555987932,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1
2,0.41987148748441544,0.008047933466888799,-0.8395941248783899,-0.8701833340815202,-1.6724592395536968,1.0270789116578085,-0.4282895663715403,-0.19660900859152544,-0.0010454173182449684,,-0.4202930638485338,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
1,1.5726479332502157,0.2569530922366421,0.7435500452254252,-0.8701833340815202,1.0469866784197936,1.0270789116578085,2.3348689263480744,-0.19660900859152544,-0.0010454173182449684,,-1.3440140832958607,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
2,-0.1517214922796586,-0.2408572253028645,-0.7516416709837335,0.9184771676276685,0.1405047057619635,-0.7049259983890862,-0.4282895663715403,-1.2313932643363965,1.0443719009268386,-1.1578146534303573,0.5034279555987932,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,,,,1
